Date,Open,High,Low,Close,Adj Close,Volume
11/9/2017,0.02516,0.03506,0.025006,0.032053,0.032053,18716200
11/10/2017,0.032219,0.033348,0.026451,0.027119,0.027119,6766780
11/11/2017,0.026891,0.029659,0.025684,0.027437,0.027437,5532220
11/12/2017,0.02748,0.027952,0.022591,0.023977,0.023977,7280250
11/13/2017,0.024364,0.0263,0.023495,0.025808,0.025808,4419440
11/14/2017,0.025797,0.026788,0.025342,0.02623,0.02623,3033290
11/15/2017,0.026116,0.027773,0.025261,0.026445,0.026445,6858800
11/16/2017,0.026583,0.02817,0.025654,0.02758,0.02758,4888130
11/17/2017,0.027143,0.027436,0.025184,0.025773,0.025773,3578870
11/18/2017,0.025597,0.027122,0.024748,0.026369,0.026369,2930550
11/19/2017,0.026243,0.028478,0.025581,0.028084,0.028084,4725050
11/20/2017,0.028152,0.0323,0.027612,0.029581,0.029581,16172400
11/21/2017,0.029587,0.029709,0.027404,0.02833,0.02833,5836790
11/22/2017,0.028399,0.029034,0.027891,0.028549,0.028549,4938480
11/23/2017,0.02854,0.028678,0.027444,0.027444,0.027444,5132300
11/24/2017,0.027406,0.028597,0.026963,0.028382,0.028382,5502350
11/25/2017,0.028324,0.030447,0.027747,0.030447,0.030447,6156460
11/26/2017,0.030437,0.039855,0.030118,0.036332,0.036332,30527100
11/27/2017,0.036619,0.057127,0.036619,0.050593,0.050593,77777296
11/28/2017,0.050627,0.13173,0.047949,0.119744,0.119744,240338000
11/29/2017,0.118235,0.146906,0.081436,0.089718,0.089718,210624992
11/30/2017,0.09493,0.128303,0.09493,0.119883,0.119883,124345000
12/1/2017,0.116622,0.131352,0.113031,0.131352,0.131352,73657600
12/2/2017,0.131633,0.138869,0.129132,0.132351,0.132351,56712600
12/3/2017,0.132351,0.13922,0.124945,0.131807,0.131807,46458900
12/4/2017,0.131546,0.145946,0.12635,0.13587,0.13587,76392704
12/5/2017,0.135625,0.136404,0.126777,0.127488,0.127488,50381100
12/6/2017,0.126748,0.132855,0.113886,0.117839,0.117839,75688800
12/7/2017,0.117766,0.124176,0.105501,0.105501,0.105501,71024600
12/8/2017,0.106142,0.120726,0.099136,0.115465,0.115465,70092400
12/9/2017,0.114745,0.13866,0.113561,0.119609,0.119609,63308600
12/10/2017,0.119794,0.119794,0.100133,0.110281,0.110281,46376600
12/11/2017,0.108927,0.121383,0.108638,0.121383,0.121383,39513900
12/12/2017,0.121177,0.138008,0.114222,0.133891,0.133891,60056800
12/13/2017,0.133739,0.141854,0.122368,0.134281,0.134281,61575000
12/14/2017,0.133667,0.240753,0.131843,0.240753,0.240753,309307008
12/15/2017,0.233209,0.233209,0.187032,0.213467,0.213467,207311008
12/16/2017,0.212875,0.447192,0.204233,0.404665,0.404665,581052032
