https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AAVE,Volume BTC
1652054400,2022-05-09 00:00:00,AAVE/BTC,0.00370800,0.00370800,0.00370800,0.00370800,0.00000000,0.0
1652050800,2022-05-08 23:00:00,AAVE/BTC,0.00373517,0.00373517,0.00370231,0.00370800,25.25616155,0.09364984702740001
1652047200,2022-05-08 22:00:00,AAVE/BTC,0.00377264,0.00377264,0.00377264,0.00377264,0.00000000,0.0
1652043600,2022-05-08 21:00:00,AAVE/BTC,0.00377264,0.00377264,0.00377264,0.00377264,0.00000000,0.0
1652040000,2022-05-08 20:00:00,AAVE/BTC,0.00377264,0.00377264,0.00377264,0.00377264,0.00000000,0.0
1652036400,2022-05-08 19:00:00,AAVE/BTC,0.00377264,0.00377264,0.00377264,0.00377264,0.00000000,0.0
1652032800,2022-05-08 18:00:00,AAVE/BTC,0.00376146,0.00377291,0.00376146,0.00377264,14.03538261,0.0529504458497904
1652029200,2022-05-08 17:00:00,AAVE/BTC,0.00377121,0.00377603,0.00375979,0.00375979,62.96575626,0.2367380207287854
1652025600,2022-05-08 16:00:00,AAVE/BTC,0.00378821,0.00378821,0.00378821,0.00378821,0.00000000,0.0
1652022000,2022-05-08 15:00:00,AAVE/BTC,0.00378821,0.00378821,0.00378821,0.00378821,0.00000000,0.0
1652018400,2022-05-08 14:00:00,AAVE/BTC,0.00378821,0.00378821,0.00378821,0.00378821,0.00000000,0.0
1652014800,2022-05-08 13:00:00,AAVE/BTC,0.00378821,0.00378821,0.00378821,0.00378821,0.00000000,0.0
1652011200,2022-05-08 12:00:00,AAVE/BTC,0.00378821,0.00378821,0.00378821,0.00378821,0.00000000,0.0
1652007600,2022-05-08 11:00:00,AAVE/BTC,0.00378821,0.00378821,0.00378821,0.00378821,0.00000000,0.0
1652004000,2022-05-08 10:00:00,AAVE/BTC,0.00378821,0.00378821,0.00378821,0.00378821,25.59787070,0.096970109764447
1652000400,2022-05-08 09:00:00,AAVE/BTC,0.00377342,0.00377342,0.00377342,0.00377342,0.00000000,0.0
1651996800,2022-05-08 08:00:00,AAVE/BTC,0.00377342,0.00377342,0.00377342,0.00377342,0.00000000,0.0
1651993200,2022-05-08 07:00:00,AAVE/BTC,0.00377342,0.00377342,0.00377342,0.00377342,0.00000000,0.0
1651989600,2022-05-08 06:00:00,AAVE/BTC,0.00377342,0.00377342,0.00377342,0.00377342,0.16680000,0.000629406456
1651986000,2022-05-08 05:00:00,AAVE/BTC,0.00374068,0.00374068,0.00374068,0.00374068,0.00000000,0.0
1651982400,2022-05-08 04:00:00,AAVE/BTC,0.00374068,0.00374068,0.00374068,0.00374068,0.00000000,0.0
1651978800,2022-05-08 03:00:00,AAVE/BTC,0.00373473,0.00374068,0.00373473,0.00374068,10.76688122,0.040275457242029605
1651975200,2022-05-08 02:00:00,AAVE/BTC,0.00371122,0.00372046,0.00371122,0.00372046,12.51220760,0.046551167887496
1651971600,2022-05-08 01:00:00,AAVE/BTC,0.00373913,0.00373913,0.00373913,0.00373913,4.15593216,0.0155395706174208
1651968000,2022-05-08 00:00:00,AAVE/BTC,0.00374415,0.00374585,0.00374415,0.00374585,16.57246151,0.0620779549472335
1651964400,2022-05-07 23:00:00,AAVE/BTC,0.00373462,0.00373707,0.00373462,0.00373707,14.06439551,0.0525596305285557
1651960800,2022-05-07 22:00:00,AAVE/BTC,0.00372035,0.00372035,0.00370000,0.00370000,66.72589196,0.246885800252
1651957200,2022-05-07 21:00:00,AAVE/BTC,0.00382942,0.00382942,0.00382942,0.00382942,0.00000000,0.0
1651953600,2022-05-07 20:00:00,AAVE/BTC,0.00382942,0.00382942,0.00382942,0.00382942,0.00000000,0.0
1651950000,2022-05-07 19:00:00,AAVE/BTC,0.00382942,0.00382942,0.00382942,0.00382942,0.26360000,0.001009435112
1651946400,2022-05-07 18:00:00,AAVE/BTC,0.00384674,0.00384674,0.00384674,0.00384674,6.38243629,0.0245515729741946
1651942800,2022-05-07 17:00:00,AAVE/BTC,0.00382220,0.00382220,0.00382220,0.00382220,0.00000000,0.0
1651939200,2022-05-07 16:00:00,AAVE/BTC,0.00382220,0.00382220,0.00382220,0.00382220,0.00000000,0.0
1651935600,2022-05-07 15:00:00,AAVE/BTC,0.00382220,0.00382220,0.00382220,0.00382220,0.00000000,0.0
1651932000,2022-05-07 14:00:00,AAVE/BTC,0.00382220,0.00382220,0.00382220,0.00382220,0.00000000,0.0
1651928400,2022-05-07 13:00:00,AAVE/BTC,0.00382220,0.00382220,0.00382220,0.00382220,0.00000000,0.0
1651924800,2022-05-07 12:00:00,AAVE/BTC,0.00382220,0.00382220,0.00382220,0.00382220,0.00000000,0.0
1651921200,2022-05-07 11:00:00,AAVE/BTC,0.00382220,0.00382220,0.00382220,0.00382220,0.00000000,0.0
1651917600,2022-05-07 10:00:00,AAVE/BTC,0.00382220,0.00382220,0.00382220,0.00382220,0.00000000,0.0
1651914000,2022-05-07 09:00:00,AAVE/BTC,0.00382220,0.00382220,0.00382220,0.00382220,0.00000000,0.0
1651910400,2022-05-07 08:00:00,AAVE/BTC,0.00382220,0.00382220,0.00382220,0.00382220,6.55000000,0.025035409999999998
1651906800,2022-05-07 07:00:00,AAVE/BTC,0.00376718,0.00376718,0.00376718,0.00376718,0.00000000,0.0
1651903200,2022-05-07 06:00:00,AAVE/BTC,0.00376718,0.00376718,0.00376718,0.00376718,6.98431770,0.026311181953086002
1651899600,2022-05-07 05:00:00,AAVE/BTC,0.00375000,0.00375000,0.00375000,0.00375000,0.00000000,0.0
1651896000,2022-05-07 04:00:00,AAVE/BTC,0.00375000,0.00375000,0.00375000,0.00375000,10.00000000,0.0375
1651892400,2022-05-07 03:00:00,AAVE/BTC,0.00383862,0.00383862,0.00383862,0.00383862,0.00000000,0.0
1651888800,2022-05-07 02:00:00,AAVE/BTC,0.00383862,0.00383862,0.00383862,0.00383862,0.00000000,0.0
1651885200,2022-05-07 01:00:00,AAVE/BTC,0.00383862,0.00383862,0.00383862,0.00383862,0.00000000,0.0
1651881600,2022-05-07 00:00:00,AAVE/BTC,0.00383862,0.00383862,0.00383862,0.00383862,0.00000000,0.0
1651878000,2022-05-06 23:00:00,AAVE/BTC,0.00383862,0.00383862,0.00383862,0.00383862,0.00000000,0.0
1651874400,2022-05-06 22:00:00,AAVE/BTC,0.00383862,0.00383862,0.00383862,0.00383862,0.00000000,0.0
1651870800,2022-05-06 21:00:00,AAVE/BTC,0.00383839,0.00383862,0.00383839,0.00383862,9.14341900,0.03509811104178
1651867200,2022-05-06 20:00:00,AAVE/BTC,0.00385203,0.00385203,0.00385203,0.00385203,0.00000000,0.0
1651863600,2022-05-06 19:00:00,AAVE/BTC,0.00385203,0.00385203,0.00385203,0.00385203,0.46200000,0.0017796378600000002
1651860000,2022-05-06 18:00:00,AAVE/BTC,0.00381050,0.00381050,0.00381050,0.00381050,0.00000000,0.0
