Date,Close/Last,Volume,Open,High,Low
05/05/2022,1875.7,212206,1884.1,1910.7,1872.3
05/04/2022,1868.8,155972,1868.3,1892,1861.1
05/03/2022,1870.6,161150,1863.6,1878.4,1849.7
05/02/2022,1863.6,186052,1896.2,1900.4,1853.4
04/29/2022,1911.7,169590,1895.8,1921.3,1893.5
04/28/2022,1891.3,166979,1886.8,1897.8,1870.9
04/27/2022,1888.7,168759,1907.4,1908.1,1881.6
04/26/2022,1904.1,159198,1899.8,1912.2,1896.3
04/25/2022,1896,222175,1931.9,1935.5,1891.8
04/22/2022,1934.3,172335,1953.1,1957.8,1928
04/21/2022,1948.2,149700,1960,1960.1,1938
04/20/2022,1955.6,136017,1952.7,1960.9,1941
04/19/2022,1959,176033,1981.2,1985.1,1945.5
04/18/2022,1986.4,135491,1978.5,2003,1974.4
04/14/2022,1974.9,136906,1981.6,1984,1962.7
04/13/2022,1984.7,128353,1970.5,1985.8,1966.3
04/12/2022,1976.1,167267,1957.4,1982.7,1953
04/11/2022,1948.2,179115,1949.6,1974.6,1942.9
04/08/2022,1945.6,138521,1934.3,1952.2,1930.4
04/07/2022,1937.8,119672,1928.1,1941.7,1923.3
04/06/2022,1923.1,149065,1927.6,1937.6,1916.2
04/05/2022,1927.5,142736,1937.3,1948.9,1920.9
04/04/2022,1934,106062,1927.1,1941.6,1918.2
04/01/2022,1923.7,129770,1942.4,1944.5,1921.4
03/31/2022,1954,143756,1937.3,1955,1923
03/30/2022,1939,133201,1924,1943.4,1920.1
03/29/2022,1918,207331,1927.2,1934.4,1893.2
03/28/2022,1944.7,106563,1962.5,1965.2,1920.7
03/25/2022,1959.8,60137,1963.2,1970.4,1948.2
03/24/2022,1967.7,65218,1948.9,1972.5,1942.9
03/23/2022,1942.6,48141,1926.3,1953.9,1920.7
03/22/2022,1926.7,46165,1941,1944.7,1915.5
03/21/2022,1934.8,46403,1927.4,1947.2,1922.2
03/18/2022,1933.9,34050,1947.9,1950.9,1922.7
03/17/2022,1948.2,32640,1933.4,1955.6,1929
03/16/2022,1909.2,188471,1920.1,1930.1,1895.2
03/15/2022,1929.7,208752,1953.7,1956.9,1908.1
03/14/2022,1960.8,146870,1988.7,1994.8,1952
03/11/2022,1985,234258,2000.3,2004,1960.6
03/10/2022,2000.4,279944,1992.8,2015.1,1975
03/09/2022,1988.2,329822,2060.2,2068.5,1981
03/08/2022,2043.3,413624,2001,2078.8,1985.8
03/07/2022,1995.9,345526,1978.5,2007.5,1964.2
03/04/2022,1966.6,228205,1938.5,1974.9,1931.5
03/03/2022,1935.9,170994,1931.7,1944.6,1923.1
03/02/2022,1922.3,221028,1945.3,1951.4,1916
03/01/2022,1943.8,215091,1908.4,1952.6,1903
02/28/2022,1900.7,239416,1921,1935.2,1892.2
02/25/2022,1887.6,220963,1906.5,1925,1884.4
02/24/2022,1926.3,409954,1911.9,1976.5,1878.6
02/23/2022,1910.4,151417,1901.2,1912.9,1891.1
02/22/2022,1907.4,323210,1903.5,1918.3,1889.7
02/18/2022,1899.8,155484,1901.4,1905,1888
02/17/2022,1902,251680,1872,1904,1869.7
02/16/2022,1871.5,136348,1855.5,1874.6,1851.8
02/15/2022,1856.2,208428,1873.8,1881.6,1845.4
02/14/2022,1869.4,220292,1862.2,1876.5,1851.9
02/11/2022,1842.1,232425,1827,1867.4,1821.1
02/10/2022,1837.4,221886,1834,1843.3,1821.8
02/09/2022,1836.6,128735,1827,1837.1,1825.5
02/08/2022,1827.9,138151,1821.5,1829.9,1816
02/07/2022,1821.8,137112,1808,1824.6,1807.5
02/04/2022,1807.8,175521,1805.4,1815.8,1792.1
02/03/2022,1804.1,168783,1807.4,1809.5,1788.5
02/02/2022,1810.3,120057,1800.8,1812,1794.6
02/01/2022,1801.5,125228,1798.9,1809.7,1796.2
01/31/2022,1796.4,134623,1792.8,1800.9,1785.8
01/28/2022,1786.6,211839,1799.6,1800.3,1780.6
01/27/2022,1795,198030,1821.4,1823.8,1792.7
01/26/2022,1832,146441,1850.7,1852.6,1816.4
01/25/2022,1855,71595,1846,1856.7,1836.8
01/24/2022,1844.2,100586,1838.3,1847.2,1831.9
01/21/2022,1834.1,66596,1842.6,1845.8,1830.6
01/20/2022,1844.9,78202,1842.9,1850.8,1838.4
01/19/2022,1845.5,84788,1816.4,1846.1,1811.6
01/18/2022,1812.4,347305,1818.7,1822.9,1804.7
01/14/2022,1816.5,164913,1822.1,1829.3,1814.2
01/13/2022,1821.4,197305,1825.7,1828.3,1811.8
01/12/2022,1827.3,173549,1821.3,1828.2,1814.4
01/11/2022,1818.5,165152,1801.3,1823.1,1799.7
01/10/2022,1798.8,153934,1796.4,1802,1789.3
01/07/2022,1797.4,218941,1791,1798.4,1781.3
01/06/2022,1789.2,233180,1810.6,1811.6,1785.4
01/05/2022,1825.1,167651,1815.2,1830.7,1808.2
